code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47
688110,2022-03-11,39.86,39.85,40.38,39.15,40.45,60761.5,242034000.0,,,39.85,,,,0.0,0.0,0.0,东芯股份,计算机、通信和其他电子设备制造业,科创板,39.85,39.85,39.85,39.85,39.85
688110,2022-03-14,39.48,38.49,39.6,38.49,39.85,43423.6,168940000.0,,,39.17,,,,-0.11,-0.02,-0.09,东芯股份,计算机、通信和其他电子设备制造业,科创板,39.17,39.17,39.17,39.17,39.17
688110,2022-03-15,38.19,35.69,38.36,35.63,38.49,75013.8,277782000.0,,,38.01,,,,-0.42,-0.1,-0.32,东芯股份,计算机、通信和其他电子设备制造业,科创板,38.01,38.01,38.01,38.01,38.01
688110,2022-03-16,36.77,38.15,38.47,35.44,35.69,74821.2,275923000.0,,,38.045,,,,-0.45,-0.17,-0.28,东芯股份,计算机、通信和其他电子设备制造业,科创板,38.045,38.045,38.045,38.045,38.045
688110,2022-03-17,38.5,38.51,39.65,38.37,38.15,72215.8,281352000.0,38.14,,38.138,,,,-0.45,-0.23,-0.22,东芯股份,计算机、通信和其他电子设备制造业,科创板,37.71,38.138,38.138,38.138,38.138
688110,2022-03-18,38.6,38.25,39.08,38.01,38.51,41804.6,160742000.0,37.82,,38.156666666666666,,,,-0.46,-0.27,-0.19,东芯股份,计算机、通信和其他电子设备制造业,科创板,37.65,38.156666666666666,38.156666666666666,38.156666666666666,38.156666666666666
688110,2022-03-21,38.09,38.68,38.85,37.61,38.25,47387.5,181492000.0,37.86,,38.23142857142857,,,,-0.43,-0.3,-0.13,东芯股份,计算机、通信和其他电子设备制造业,科创板,38.3975,38.23142857142857,38.23142857142857,38.23142857142857,38.23142857142857
688110,2022-03-22,38.35,37.06,38.5,36.96,38.68,54439.0,204034000.0,38.13,,38.085,,,,-0.54,-0.35,-0.19,东芯股份,计算机、通信和其他电子设备制造业,科创板,38.125,38.085,38.085,38.085,38.085
688110,2022-03-23,37.17,37.2,37.63,36.96,37.06,25985.7,96895700.0,37.94,,37.986666666666665,,,,-0.6,-0.4,-0.2,东芯股份,计算机、通信和其他电子设备制造业,科创板,37.7975,37.75375,37.986666666666665,37.986666666666665,37.986666666666665
688110,2022-03-24,36.75,36.13,37.0,35.95,37.2,36545.7,132283000.0,37.46,37.8,37.801,,,,-0.73,-0.47,-0.26,东芯股份,计算机、通信和其他电子设备制造业,科创板,37.2675,37.458749999999995,37.801,37.801,37.801
688110,2022-03-25,36.45,35.87,36.86,35.8,36.13,32066.3,116149000.0,36.99,37.4,37.625454545454545,,,,-0.84,-0.54,-0.3,东芯股份,计算机、通信和其他电子设备制造业,科创板,36.565,37.481249999999996,37.625454545454545,37.625454545454545,37.625454545454545
688110,2022-03-28,35.46,36.02,36.46,35.12,35.87,25109.0,90026100.0,36.46,37.16,37.49166666666667,,,,-0.91,-0.62,-0.29,东芯股份,计算机、通信和其他电子设备制造业,科创板,36.305,37.214999999999996,37.49166666666667,37.49166666666667,37.49166666666667
688110,2022-03-29,36.26,34.54,36.34,34.44,36.02,44286.5,155973000.0,35.95,37.04,37.26461538461538,,,,-1.06,-0.7,-0.36,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.64,36.71875,37.049166666666665,37.26461538461538,37.26461538461538
688110,2022-03-30,34.8,35.03,35.18,34.44,34.54,40625.8,141418000.0,35.52,36.73,37.105000000000004,,,30.3,-1.14,-0.79,-0.35,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.365,36.31625,36.76083333333333,37.105000000000004,37.105000000000004
688110,2022-03-31,34.88,34.98,35.35,34.78,35.03,27455.1,96283600.0,35.29,36.38,36.96333333333334,,,30.09,-1.19,-0.87,-0.32,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.1425,35.85375,36.70166666666667,36.96333333333334,36.96333333333334
688110,2022-04-01,34.5,35.61,36.33,34.5,34.98,31702.3,112516000.0,35.24,36.11,36.878750000000004,,,36.12,-1.17,-0.93,-0.24,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.04,35.6725,36.49,36.878750000000004,36.878750000000004
688110,2022-04-06,35.15,35.77,35.99,35.11,35.61,21495.7,76589600.0,35.19,35.82,36.813529411764705,,,37.59,-1.11,-0.97,-0.14,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.347500000000004,35.49375,36.26166666666667,36.62375,36.813529411764705
688110,2022-04-07,35.71,36.06,36.41,35.23,35.77,30546.0,109697000.0,35.49,35.72,36.771666666666675,,,40.28,-1.05,-0.98,-0.07,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.605000000000004,35.485,36.07916666666667,36.471875,36.771666666666675
688110,2022-04-08,35.95,35.73,36.64,35.4,36.06,35298.3,127383000.0,35.63,35.57,36.71684210526316,,,38.26,-1.0,-0.99,-0.01,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.792500000000004,35.4675,35.833333333333336,36.474374999999995,36.71684210526316
688110,2022-04-11,35.33,32.97,35.58,32.95,35.73,43757.1,148703000.0,35.23,35.26,36.529500000000006,,,26.36,-1.18,-1.03,-0.15,东芯股份,计算机、通信和其他电子设备制造业,科创板,35.13250000000001,35.08625000000001,35.4925,36.150625,36.529500000000006
688110,2022-04-12,32.81,33.2,33.27,31.77,32.97,30878.5,100838000.0,34.75,34.99,36.19700000000001,,,28.36,-1.29,-1.08,-0.21,东芯股份,计算机、通信和其他电子设备制造业,科创板,34.49,34.91875,35.15916666666667,35.81875,36.37095238095239
688110,2022-04-13,33.0,31.55,33.03,31.41,33.2,24205.4,77941800.0,33.9,34.54,35.85000000000001,,,23.44,-1.49,-1.16,-0.33,东芯股份,计算机、通信和其他电子设备制造业,科创板,33.362500000000004,34.48375,34.7775,35.4,36.151818181818186
688110,2022-04-14,31.77,31.8,32.36,30.92,31.55,33311.1,105239000.0,33.05,34.27,35.6555,,,25.55,-1.6,-1.25,-0.35,东芯股份,计算机、通信和其他电子设备制造业,科创板,32.38000000000001,34.08625,34.43833333333334,34.97,35.96260869565218
