epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26181,2.40913,2.77719,2.4459,0.0031,0.975,0.02035,0.00301,3.27847,3.58413,3.15345,4e-05,4e-05,4e-05
2,14.9242,2.29335,2.73577,2.387,0.00317,1,0.02777,0.00613,2.91026,3.44794,2.73655,9.87625e-05,9.87625e-05,9.87625e-05
3,22.035,1.75997,2.57499,1.93841,0.00317,1,0.06407,0.02212,1.81141,3.25298,1.94023,0.00015604,0.00015604,0.00015604
4,29.0393,1.72945,2.46276,1.84105,0.00317,1,0.07126,0.02832,1.49683,3.04306,1.61582,0.000211833,0.000211833,0.000211833
5,36.1008,1.6575,2.4379,1.82987,0.00317,1,0.0692,0.02953,1.5415,2.92285,1.54929,0.00026614,0.00026614,0.00026614
6,43.0705,1.48563,2.14754,1.667,0.00317,1,0.07434,0.03162,1.48389,2.92278,1.53782,0.000318963,0.000318963,0.000318963
7,50.1828,1.4761,2.08061,1.63208,0.00317,1,0.15702,0.05362,1.43933,2.89002,1.55806,0.0003703,0.0003703,0.0003703
8,57.1237,1.37616,2.06711,1.55698,0.00317,1,0.41643,0.11205,1.41392,2.78214,1.51893,0.000420152,0.000420152,0.000420152
9,64.2174,1.43718,2.01437,1.6232,0.00317,1,0.67144,0.41654,1.32386,2.70505,1.5714,0.00046852,0.00046852,0.00046852
10,71.0939,1.43659,1.94533,1.59968,0.00317,1,0.75247,0.44537,1.27254,2.75181,1.59039,0.000515403,0.000515403,0.000515403
11,78.0309,1.3064,1.74167,1.51142,0.00317,1,0.83683,0.41171,1.08837,2.65848,1.4451,0.0005608,0.0005608,0.0005608
12,84.9073,1.39002,1.84242,1.60375,0.49717,0.9,0.82764,0.40927,1.31711,2.51934,1.53797,0.000604713,0.000604713,0.000604713
13,91.8533,1.19059,1.67096,1.45916,0.40493,0.8,0.6865,0.31773,1.37909,2.19253,1.57705,0.00064714,0.00064714,0.00064714
14,98.8645,1.25026,1.58222,1.44969,0.48688,0.8,0.69642,0.34228,1.2999,2.17033,1.54927,0.000688083,0.000688083,0.000688083
15,106.002,1.12159,1.6409,1.46429,0.44535,0.95,0.80264,0.39747,1.61148,2.06881,2.13029,0.00072754,0.00072754,0.00072754
16,112.903,1.21995,1.60668,1.46765,0.5578,0.8,0.77766,0.32074,1.61879,1.98947,2.25552,0.000765512,0.000765512,0.000765512
17,120.017,1.20893,1.54899,1.48973,0.52062,0.875,0.72379,0.33572,1.61993,1.99858,2.00815,0.000802,0.000802,0.000802
18,127.913,1.16257,1.52416,1.38562,0.71991,0.9,0.7973,0.4311,1.464,2.25837,1.67728,0.000837003,0.000837003,0.000837003
19,134.744,1.16861,1.38085,1.3341,0.28549,0.2,0.37884,0.17219,1.30976,2.61305,1.59364,0.00087052,0.00087052,0.00087052
20,141.6,1.25353,1.49471,1.41788,0.24092,0.475,0.25438,0.10496,1.22381,2.6555,1.54186,0.000902552,0.000902552,0.000902552
21,148.418,1.24499,1.40481,1.43042,0.45566,0.475,0.38795,0.15273,1.31978,2.3154,1.53015,0.0009331,0.0009331,0.0009331
22,155.348,1.07577,1.29989,1.35477,0.74536,0.525,0.72964,0.28186,1.40749,1.80344,1.61707,0.000962162,0.000962162,0.000962162
23,162.253,1.08147,1.38257,1.33889,0.56607,0.6,0.50101,0.19346,1.62861,2.05631,1.91666,0.00098974,0.00098974,0.00098974
24,169.146,1.13725,1.41368,1.43018,0.95183,0.725,0.79058,0.27326,1.76614,1.87972,2.43724,0.00101583,0.00101583,0.00101583
25,176.068,1.16169,1.31594,1.32792,0.8798,0.73211,0.83305,0.26696,1.99927,2.00374,2.73452,0.00104044,0.00104044,0.00104044
26,183.01,1.10294,1.28609,1.37872,0.85089,0.75,0.85515,0.34363,1.79538,1.89746,2.4268,0.00106356,0.00106356,0.00106356
27,189.81,1.12239,1.31483,1.3345,0.81115,0.85,0.92449,0.37629,1.88551,1.71508,2.46041,0.0010852,0.0010852,0.0010852
28,196.754,1.1232,1.32172,1.40728,0.75591,0.54213,0.74331,0.34428,1.75288,1.86799,1.96968,0.00110535,0.00110535,0.00110535
29,203.556,1.19208,1.28017,1.39131,0.75591,0.54213,0.74331,0.34428,1.75288,1.86799,1.96968,0.00112402,0.00112402,0.00112402
30,210.302,1.17584,1.28087,1.36425,0.66065,0.75,0.7573,0.26061,2.11281,2.01523,2.15361,0.0011412,0.0011412,0.0011412
31,217.204,1.08163,1.28836,1.31682,0.80652,0.55,0.6984,0.19512,2.58425,2.23607,2.37739,0.0011569,0.0011569,0.0011569
32,224.134,1.06897,1.1902,1.28983,0.5734,0.5,0.46479,0.07519,3.12608,2.23083,3.07525,0.00117111,0.00117111,0.00117111
33,230.932,1.04978,1.23698,1.28041,0.5734,0.5,0.46479,0.07519,3.12608,2.23083,3.07525,0.00118384,0.00118384,0.00118384
34,237.779,1.06488,1.13164,1.32899,0.33041,0.375,0.24273,0.03522,3.2998,2.58578,3.3324,0.00118325,0.00118325,0.00118325
